provider_id,provider_name,logo_path
381,Canal+,/jHLq7Nu0cUQYshXuBNhzvrln1vL.jpg
56,OCS Go,/riPZYc1ILIbubFaxYSdVfc7K6bm.jpg
685,OCS Amazon Channel ,/42Cj5KNEteBRpfWnGWQbTJpJDGV.jpg
8,Netflix,/t2yyOv40HZeVlLjYsCsPHnWLk4W.jpg
1796,Netflix basic with Ads,/mShqQVDhHoK7VUbfYG3Un6xE8Mv.jpg
337,Disney Plus,/7rwgEs15tFwyR9NPQ5vpzxTj19Q.jpg
11,MUBI,/bVR4Z1LCHY7gidXAJF5pMa4QrDS.jpg
201,MUBI Amazon Channel,/aJUiN18NZFbpSkHZQV1C1cTpz8H.jpg
531,Paramount Plus,/xbhHHa1YgtpwhC8lb1NQ3ACVcLd.jpg
582,Paramount+ Amazon Channel,/3E0RkIEQrrGYazs63NMsn3XONT6.jpg
1853,Paramount Plus Apple TV Channel ,/9pdeflA0P1b8qlkeDA1oLfyvR06.jpg
119,Amazon Prime Video,/emthp39XA2YScoYL1p0sdbAH2WA.jpg
138,FILMO,/b6hJjWPa7h8VCpaCVJCSu8EPlqT.jpg
1734,Filmo Amazon Channel,/xO3KmmiYYol5jNsRZNJ7Sow7eUy.jpg
1967,Molotov TV,/R7p7Bw4K6Cork8xUifHVQwkrjX.jpg
1732,Universcine Amazon Channel,/yUjwJAMDmkTmPrQAlR3Kw0jlnVm.jpg
310,LaCinetek,/aWVrYX6azFNjP3uR0YxGmHpxg8f.jpg
701,FilmBox+,/4FqTBYsUSZgS9z9UGKgxSDBbtc8.jpg
588,MGM Amazon Channel,/fUUgfrOfvvPKx9vhFBd6IMdkfLy.jpg
1738,Benshi Amazon Channel,/bO7nSuzaFq3qRTHHQfvNuDCSOCc.jpg
445,Classix,/iaMw6nOyxUzXSacrLQ0Au6CfZkc.jpg
1737,INA  madelen Amazon Channel,/3QaRTn9zLUT3vVLTIomvk3XBFaP.jpg
350,Apple TV Plus,/6uhKBfmtzFqOcLousHwZuzcrScK.jpg
1870,Pass Warner Amazon Channel,/loOaayvNiLnD0zKl70TO2L5vlAL.jpg
513,Shadowz,/pICdAIrQp0JRR4polBXhlVg8bO.jpg
1736,Shadowz Amazon Channel,/k8RBvbxANThdziMeuAH22Z26NPX.jpg
692,Cultpix,/59azlQKUgFdYq6QI5QEAxIeecyL.jpg
415,Anime Digital Networks,/x8m1Cv6iy4n0Fi9tBa9TAXEuoO4.jpg
1888,Animation Digital Network Amazon Channel,/3WYKTSwdEPMZKRmJ49Oqx6mxpa2.jpg
1735,Insomnia Amazon Channel,/ptn8fYXxAQrlMQAoESOo1dJ2TPV.jpg
1733,Action Max Amazon Channel,/9FH7tewU23chp628XZcY66UOovi.jpg
1889,Universal+ Amazon Channel,/hCfry9LLjkiP1psMmUPnk3oGDG.jpg
