tmdb_id,score_imdb,title,genres,vote_average,vote_count,poster_path,year,keywords,cast,director,watch_providers
27205,7.954893628740087,Inception,"Action, Science Fiction, Adventure",8.368,35673,/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,2010.0,"rescue, mission, dream, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious","Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite",Christopher Nolan,
157336,7.953090442921283,Interstellar,"Adventure, Drama, Science Fiction",8.434,34273,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,2014.0,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, time paradox, time-manipulation, father daughter relationship, 2060s, cornfield, time manipulation, euphoric","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Michael Caine, Bill Irwin, Ellen Burstyn, Mackenzie Foy, Casey Affleck, John Lithgow, Wes Bentley",Christopher Nolan,
155,7.949676199968923,The Dark Knight,"Drama, Action, Crime, Thriller",8.515,31897,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,2008.0,"joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir","Christian Bale, Heath Ledger, Michael Caine, Gary Oldman, Aaron Eckhart, Maggie Gyllenhaal, Morgan Freeman, Nestor Carbonell, Monique Gabriela Curnen, Ron Dean",Christopher Nolan,"119, 381"
299536,7.944478632214457,Avengers: Infinity War,"Adventure, Action, Science Fiction",8.247,28841,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018.0,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Benedict Cumberbatch, Tom Holland, Chadwick Boseman, Don Cheadle, Zoe Saldaña",Anthony Russo,337
550,7.943777483686053,Fight Club,Drama,8.4,28472,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,1999.0,"dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness","Edward Norton, Brad Pitt, Helena Bonham Carter, Meat Loaf, Jared Leto, Zach Grenier, Holt McCallany, Eion Bailey, Richmond Arquette, David Andrews",David Fincher,"337, 8, 1796"
680,7.940884395467233,Pulp Fiction,"Thriller, Crime",8.5,27042,/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,1994.0,"drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, nonlinear timeline, multiple storylines, neo-noir, hilarious","John Travolta, Samuel L. Jackson, Uma Thurman, Bruce Willis, Ving Rhames, Harvey Keitel, Eric Stoltz, Tim Roth, Amanda Plummer, Maria de Medeiros",Quentin Tarantino,"8, 119, 381, 1796, 531, 582, 1853"
13,7.939865188888054,Forrest Gump,"Comedy, Drama, Romance",8.475,26571,/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,1994.0,"vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, chameleon, single mother, military, anti war protest, 1960s, college american football, mother son relationship, loving, feel-good","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, Mykelti Williamson, Michael Conner Humphreys, Hanna Hall, Haley Joel Osment, Siobhan Fallon Hogan, Rebecca Williams",Robert Zemeckis,"8, 119, 1796"
278,7.938833004586592,The Shawshank Redemption,"Drama, Crime",8.7,26110,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994.0,"prison, friendship, police brutality, corruption, based on novel or book, hope, prison cell, delinquent, redemption, parole board, prison escape, wrongful imprisonment, interracial friendship, framed for murder, 1940s, voiceover","Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, James Whitmore, Mark Rolston, Jeffrey DeMunn, Larry Brandenburg",Frank Darabont,
68718,7.937511468497628,Django Unchained,"Drama, Western",8.178,25542,/bV0rWoiRo7pHUTQkh6Oio6irlXO.jpg,2012.0,"rescue, friendship, bounty hunter, texas, slavery, plantation, rivalry, revenge, shootout, racism, kindness, dentist, django, slave trade, aftercreditsstinger, black slave, agreement, 19th century, chattanooga, german, cotton plantation, plantation owner, old west, western, 1850s, mississippi","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier",Quentin Tarantino,"8, 119, 381, 1796, 1967"
603,7.935804621940957,The Matrix,"Action, Science Fiction",8.215,24843,/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,1999.0,"man vs machine, martial arts, dream, artificial intelligence (a.i.), saving the world, hacker, self sacrifice, virtual reality, fight, prophecy, truth, philosophy, dystopia, insurgence, simulated reality , cyberpunk, dream world, messiah, action hero, gnosticism, complex","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Julian Arahanga, Matt Doran, Belinda McClory",Lana Wachowski,"8, 1796"
299534,7.935774505358375,Avengers: Endgame,"Adventure, Science Fiction, Action",8.255,24831,/or06FN3Dka5tukK1e9sl16pB3iy.jpg,2019.0,"superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship, tense","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Don Cheadle, Paul Rudd, Benedict Cumberbatch, Chadwick Boseman",Anthony Russo,337
