id,original_title,popularity
906126,La sociedad de la nieve,1412.999
572802,Aquaman and the Lost Kingdom,1117.61
753342,Napoleon,1092.626
1071215,Thanksgiving,917.86
1131755,A Creature Was Stirring,815.217
507089,Five Nights at Freddy's,811.178
695721,The Hunger Games: The Ballad of Songbirds & Snakes,753.39
1029575,The Family Plan,730.194
872585,Oppenheimer,674.156
848326,Rebel Moon - Part One: A Child of Fire,658.059
787699,Wonka,654.778
843380,Dead for a Dollar,612.341
1020006,Priscilla,611.517
1075794,Leo,577.696
1035982,Hell House LLC Origins: The Carmichael Manor,545.102
901362,Trolls Band Together,527.803
1133602,BAD LANDS バッド・ランズ,513.337
930564,Saltburn,478.032
807172,The Exorcist: Believer,476.911
1143183,Rewind,466.285
866398,The Beekeeper,453.101
899445,Deep Fear,451.217
502356,The Super Mario Bros. Movie,424.162
772,Home Alone 2: Lost in New York,420.444
385687,Fast X,418.673
520758,Chicken Run: Dawn of the Nugget,400.463
346698,Barbie,399.454
466420,Killers of the Flower Moon,394.389
299054,Expend4bles,390.257
940551,Migration,374.851
1053592,Todos los nombres de Dios,373.468
517929,Fog City,372.61
897087,Freelance,362.052
891699,Silent Night,357.026
1145881,Bring Her to Me,356.538
968868,劇場版 美少女戦士セーラームーンCosmos 前編,353.816
798141,Doors,336.929
976573,Elemental,330.095
853387,Lord of Misrule,326.801
569094,Spider-Man: Across the Spider-Verse,326.69
504148,The Serpent,323.866
940721,ゴジラ-1.0,315.83
667538,Transformers: Rise of the Beasts,315.05
670292,The Creator,312.147
603692,John Wick: Chapter 4,309.458
1118595,The Jester,304.962
1010581,Culpa mía,304.942
951491,Saw X,295.873
934194,Slash/Back,293.453
968051,The Nun II,292.183
315162,Puss in Boots: The Last Wish,291.115
1022796,Wish,291.01
575264,Mission: Impossible - Dead Reckoning Part One,283.511
1161048,Konferensen,279.964
609681,The Marvels,278.646
926393,The Equalizer 3,276.174
615656,Meg 2: The Trench,268.085
1008042,Talk to Me,262.555
1061181,キングダム 運命の炎,260.254
1076364,Carl's Date,251.536
893723,PAW Patrol: The Mighty Movie,251.535
928833,Craig Before the Creek,245.854
76600,Avatar: The Way of Water,243.161
755401,Skydog,242.74
870358,Merry Little Batman,241.98
678512,Sound of Freedom,238.867
634649,Spider-Man: No Way Home,236.412
920081,Megaboa,230.689
297802,Aquaman,227.337
635910,The Last Voyage of the Demeter,226.554
951546,Reign of Chaos,226.498
431803,甲鉄城のカバネリ 総集編｛後編｝燃える命,223.776
298618,The Flash,223.231
447277,The Little Mermaid,213.798
760245,Foe,210.451
508883,君たちはどう生きるか,208.361
980489,Gran Turismo,204.574
927107,The Bricklayer,203.92
673593,Mean Girls,202.39
565770,Blue Beetle,197.877
820525,After Everything,197.836
157336,Interstellar,196.825
1075175,How to Have Sex,196.703
566810,Dragon Kingdom,195.159
