tmdb_id,vote_average,vote_count
906126,8.099,641
572802,6.5,465
753342,6.5,1031
1071215,6.711,496
1131755,5.119,21
507089,7.749,3137
695721,7.23,1448
1029575,7.372,682
872585,8.116,6062
848326,6.453,1185
787699,7.109,946
843380,5.657,182
1020006,6.876,198
1075794,7.521,800
1035982,6.304,56
901362,7.219,511
1133602,7.25,6
930564,7.147,1035
807172,6.129,745
1143183,6.806,18
866398,7.359,32
899445,4.924,33
502356,7.706,7757
772,6.727,9011
385687,7.2,4685
520758,7.2,439
346698,7.145,6874
466420,7.527,1836
299054,6.447,1002
940551,7.431,102
1053592,7.048,42
517929,4.5,6
897087,6.492,457
891699,5.912,272
1145881,4.833,6
968868,8.7,7
798141,5.025,139
976573,7.697,3450
853387,5.719,16
569094,8.38,5480
504148,5.1,27
940721,8.0,254
667538,7.395,3862
670292,7.163,1815
603692,7.765,5371
1118595,6.176,125
1010581,8.054,2120
951491,7.37,1406
934194,6.563,48
968051,6.848,1624
315162,8.254,6859
1022796,6.4,266
575264,7.577,2880
1161048,5.37,238
609681,6.429,803
926393,7.421,2089
615656,6.672,2809
1008042,7.202,2101
1061181,7.6,86
1076364,7.512,343
893723,7.019,264
928833,7.8,18
76600,7.64,10605
755401,6.583,12
870358,6.6,97
678512,8.066,1768
634649,7.978,18820
920081,6.44,448
297802,6.901,13310
635910,7.065,1092
951546,5.864,34
431803,7.4,7
298618,6.799,3466
447277,6.427,2534
760245,5.56,91
508883,7.4,636
980489,7.974,1782
927107,6.452,31
673593,6.815,27
565770,6.884,2028
820525,7.0,635
157336,8.425,33344
1075175,6.495,102
566810,5.6,46
131631,6.805,15111
1072790,7.455,55
447365,7.99,5689
820609,6.789,847
299536,8.251,28249
726209,6.532,1559
1001835,6.982,218
762430,6.897,821
496450,7.751,715
1186957,7.19,42
414906,7.7,9032
844416,6.591,33
1046032,6.591,77
335977,6.645,2602
938669,4.5,9
671,7.915,25939
744857,7.36,367
645488,6.1,39
995906,5.8,8
1151534,7.485,1045
792307,8.028,90
116776,6.8,231
436270,6.979,5749
353491,5.702,4779
975902,6.0,98
459003,7.326,573
614930,7.258,960
1189927,6.6,5
1034062,7.007,69
879957,5.386,88
528502,6.289,38
849236,6.0,34
1036619,6.814,43
1039960,7.14,50
479753,5.681,57
505642,7.151,5825
960481,7.167,54
1191902,5.519,26
823464,0.0,0
939335,6.6,142
1072342,5.368,34
1060090,5.899,79
549945,6.688,24
656156,6.522,46
1174928,0.0,0
675353,7.535,4479
24428,7.711,29561
640146,6.373,4388
554600,7.134,339
7305,6.879,1329
278,8.71,25317
1022789,0.0,0
955916,6.091,33
1040148,7.376,801
150689,6.804,6786
797271,6.8,10
1123093,7.09,39
238,8.708,19287
1146143,5.286,7
118,7.047,14349
1156593,0.0,0
673,8.019,20459
120,8.407,23800
1209770,4.5,4
787761,6.986,72
767,7.694,18478
150540,7.92,19882
1058694,7.464,14
568124,7.612,8898
10625,7.196,8158
1062482,5.679,15
749407,5.1,28
1047925,5.196,28
1206029,6.6,7
616037,6.491,6824
299534,8.259,24310
877013,6.56,83
808,7.732,16133
9381,5.644,1965
594767,6.618,2676
122917,7.314,13545
21508,7.412,17
674,7.814,19690
177572,7.734,14947
508947,7.416,4664
672,7.718,20846
360920,6.85,3663
545611,7.81,5612
920258,5.5,3
216015,5.88,11257
337167,6.709,7650
713704,6.976,2589
675531,6.026,152
614479,6.721,1415
758323,7.066,2302
744276,6.85,1090
597,7.902,24094
12445,8.101,19566
846920,5.5,1
156022,7.265,8461
1154598,6.5,57
1150537,7.5,19
857879,6.5,9
884605,6.942,2182
840430,7.654,340
840326,7.523,1638
1220655,7.0,5
680,8.489,26444
915935,7.726,597
508943,7.847,7838
537915,7.135,7935
411,7.132,10055
829557,5.831,1277
354912,8.215,18387
399566,7.639,9301
22,7.794,19574
974931,6.953,583
532961,6.4,11
181808,6.814,14552
425,7.353,12537
12444,7.759,18129
361743,8.237,8065
585083,6.995,1729
716263,6.625,12
545742,7.262,65
791373,8.178,9458
438148,7.352,3216
934433,7.098,2179
19995,7.575,30301
453395,7.328,8307
524434,6.906,7714
87101,5.93,7999
845861,6.087,23
1081400,6.394,33
866038,6.426,156
872906,7.189,175
438631,7.783,9842
864101,7.758,93
131634,6.894,11902
198663,7.174,16158
324857,8.404,14477
775244,6.78,25
937249,5.902,255
507086,6.7,5491
384843,5.5,2
830764,6.058,258
1113278,5.31,58
862,7.971,17480
1150394,8.387,199
677179,7.15,2192
10908,6.117,286
129,8.538,15370
373571,6.681,5646
32657,6.217,7107
315635,7.341,20825
214756,6.293,7028
1192578,6.8,5
769,8.466,12057
725064,6.0,1
76341,7.586,21237
744275,7.095,2411
420818,7.119,9505
675,7.683,18539
252,7.491,3255
697843,7.472,2054
851644,8.245,560
1118824,6.0,1
271110,7.441,21817
982932,6.32,25
459151,7.416,2374
734519,7.185,46
961268,7.1,368
10144,7.354,7467
455476,6.541,970
613504,7.199,5135
810693,8.208,1185
1115710,5.5,16
49444,7.0,6561
809,7.259,11581
269149,7.747,15514
1050035,8.198,106
766507,7.743,6055
1172029,7.552,67
1001884,6.4,83
945937,6.188,56
14836,7.865,7267
988591,4.5,16
842675,7.3,426
438695,7.9,4050
861126,6.6,16
335984,7.551,12687
1138248,7.25,12
10192,6.36,6905
1045644,7.294,90
829560,6.484,909
1126577,6.0,50
106646,8.035,22711
1155089,7.918,61
709631,6.743,552
585511,7.829,1544
324786,8.192,12952
527774,7.874,6418
38757,7.604,10772
1011985,0.0,0
4935,8.404,9037
14160,7.953,19223
661374,7.051,4832
68726,6.882,11776
274855,6.11,4528
845844,5.432,37
1223858,0.0,0
242582,7.704,10206
1146225,4.25,4
760104,6.754,2526
1183387,8.7,3
168259,7.236,10149
27205,8.367,35053
1145851,6.1,45
724209,6.88,1419
790493,6.42,106
13,8.477,25985
566525,7.573,8732
400928,8.037,5102
965548,6.182,11
293660,7.607,29289
496243,8.512,16930
58,7.348,15120
832074,6.227,22
296096,7.92,11663
550,8.4,27835
1003581,7.227,198
1146348,7.519,52
324552,7.325,12300
155,8.514,31246
109445,7.245,15791
254128,6.23,8161
536437,6.4,863
958182,7.526,98
1178734,6.952,21
872976,6.8,6
8966,6.3,12868
1000492,8.09,362
493529,7.394,2864
11224,7.042,6358
868759,7.011,1492
842139,5.875,4
1865,6.542,13347
81774,5.62,175
798362,6.573,117
585,7.839,17519
882598,6.685,2531
1158385,6.308,13
2062,7.813,16055
991708,6.315,138
330457,7.262,9250
882569,7.798,1982
11,8.205,19526
101299,7.427,16594
893345,6.657,54
343611,5.967,4590
832502,6.748,232
121,8.39,20689
