id,original_title,popularity
1029575,The Family Plan,4320.505
891699,Silent Night,1883.624
572802,Aquaman and the Lost Kingdom,1536.539
1071215,Thanksgiving,1521.483
1131755,A Creature Was Stirring,1457.784
844416,Rumble Through the Dark,1179.247
897087,Freelance,1139.571
299054,Expend4bles,1101.304
670292,The Creator,1086.786
1143183,Rewind,988.591
872585,Oppenheimer,944.279
975902,Boudica,929.991
787699,Wonka,902.407
1189927,El duelo,814.422
1075794,Leo,766.769
901362,Trolls Band Together,725.168
1151534,Nowhere,712.039
939335,Muzzle,690.239
906126,La sociedad de la nieve,655.54
926393,The Equalizer 3,632.401
517929,Fog City,629.129
385687,Fast X,611.053
945937,Fast Charlie,587.082
853387,Lord of Misrule,578.626
937249,57 Seconds,574.468
1053592,Todos los nombres de Dios,557.831
940551,Migration,516.016
762430,Retribution,513.303
298618,The Flash,498.743
1008042,Talk to Me,494.834
726209,Leave the World Behind,468.856
346698,Barbie,460.559
951491,Saw X,444.643
968051,The Nun II,439.932
1161048,Konferensen,437.824
565770,Blue Beetle,434.066
976573,Elemental,431.62
980489,Gran Turismo,429.51
678512,Sound of Freedom,426.37
1022796,Wish,395.908
930564,Saltburn,390.776
466420,Killers of the Flower Moon,385.202
297802,Aquaman,377.217
635910,The Last Voyage of the Demeter,355.459
335977,Indiana Jones and the Dial of Destiny,352.568
899445,Deep Fear,351.956
870358,Merry Little Batman,348.675
609681,The Marvels,347.473
353491,The Dark Tower,333.367
1060090,The Collective,331.251
724209,Heart of Stone,319.117
1186957,The Velveteen Rabbit,308.874
1039690,Desperation Road,306.216
820609,No One Will Save You,291.019
447277,The Little Mermaid,285.758
1076487,Warhorse One,285.394
753342,Napoleon,284.419
820525,After Everything,272.686
1156255,The Engineer,269.325
697843,Extraction 2,265.658
744857,Cuando acecha la maldad,264.015
843380,Dead for a Dollar,262.338
1174725,Duell am Abgrund,258.297
958006,The Kill Room,252.491
1146143,The Puppetman,243.758
787761,Oracle,241.652
1006462,The Flood,239.205
455476,Knights of the Zodiac,236.583
866398,The Beekeeper,235.815
436270,Black Adam,234.054
1072790,Anyone But You,225.894
1072342,Night Swim,223.654
868759,Ghosted,223.09
1163045,Jagun Jagun,218.239
677179,Creed III,213.678
672,Harry Potter and the Chamber of Secrets,213.602
1058694,Radical,212.918
1172009,The Black Book,206.599
979275,Mob Land,206.44
673,Harry Potter and the Prisoner of Azkaban,204.938
675531,Dark Harvest,203.195
674,Harry Potter and the Goblet of Fire,199.885
1039960,Monster High 2,198.196
157336,Interstellar,197.282
1001884,Dashing Through the Snow,194.903
118,Charlie and the Chocolate Factory,192.702
675,Harry Potter and the Order of the Phoenix,191.449
1020006,Priscilla,191.007
507086,Jurassic World Dominion,190.087
1081400,The Mill,189.777
766507,Prey,189.126
840326,Sisu,188.6
360920,The Grinch,187.745
1156593,Culpa tuya,187.315
1092329,Journey to Bethlehem,186.201
536437,Hypnotic,186.148
974931,Totally Killer,185.363
936059,The Naughty Nine,184.679
934433,Scream VI,183.741
150689,Cinderella,183.271
1145851,El hombre del saco,182.491
713704,Evil Dead Rise,180.475
717930,Kandahar,179.729
414906,The Batman,176.897
1022789,Inside Out 2,176.689
1115710,The Mount 2,175.168
1126577,Til Death Do Us Part,173.187
709631,Cobweb,172.434
1001835,Wifelike,171.878
675353,Sonic the Hedgehog 2,170.389
75780,Jack Reacher,169.485
1145881,Bring Her to Me,168.242
508947,Turning Red,163.895
893345,The Secret Kingdom,163.469
985939,Fall,162.029
457332,Hidden Strike,160.752
1158385,Spirit of Fear,160.307
438631,Dune,160.018
1075175,How to Have Sex,159.719
1209770,Bedspacer,155.482
568124,Encanto,155.359
1172029,Sobreviviendo mis XV,155.188
1047925,Come Out Fighting,154.553
536554,M3GAN,154.42
991708,El Conde,153.77
832502,The Monkey King,151.919
798141,Doors,151.891
274855,Geostorm,151.294
156022,The Equalizer,150.588
597,Titanic,150.53
1150394,La Leyenda de los Chaneques,149.903
982932,Shrapnel,149.497
1135229,I Am Rage,149.286
840430,The Holdovers,149.255
19995,Avatar,149.21
1000475,River Wild,149.033
238,The Godfather,148.381
453395,Doctor Strange in the Multiverse of Madness,146.732
698508,Redeeming Love,145.992
700391,65,145.586
198663,The Maze Runner,144.97
808,Shrek,144.328
354912,Coco,143.235
537915,After,143.145
278,The Shawshank Redemption,142.177
296096,Me Before You,141.594
150540,Inside Out,141.07
646389,Plane,139.217
406759,Moonfall,137.904
899112,Violent Night,137.519
24428,The Avengers,137.309
1000081,Sentinelle,137.026
804150,Cocaine Bear,136.467
1143190,Fear the Night,136.37
504148,The Serpent,136.27
744276,After Ever Happy,134.11
585511,Luck,133.921
945729,A Haunting in Venice,132.945
9502,Kung Fu Panda,132.858
324786,Hacksaw Ridge,132.643
420818,The Lion King,132.427
140300,Kung Fu Panda 3,132.247
438695,Sing 2,131.879
792307,Poor Things,131.113
809,Shrek 2,130.907
1011985,Kung Fu Panda 4,130.714
49444,Kung Fu Panda 2,130.296
829560,Kolejne 365 dni,130.237
216015,Fifty Shades of Grey,129.532
552688,The Mother,129.525
8871,How the Grinch Stole Christmas,129.422
621587,Next Goal Wins,128.777
1024773,It Lives Inside,128.146
8587,The Lion King,127.973
736526,Troll,126.967
882598,Smile,125.868
1142740,Murder City,125.44
1152797,Freestyle,125.257
293660,Deadpool,124.996
1213997,Bitconned,123.579
666277,Past Lives,123.455
