id,original_title,title,genres,release_date,vote_average,poster_path,keywords,cast
1029575,The Family Plan,The Family Plan,"Action, Comedy",2023-12-14,7.398,/a6syn9qcU4a54Lmi3JoIr1XvhFU.jpg,"assassin, las vegas, family, hidden identity, family trip, roadtrip, former soldier, father and son","Mark Wahlberg, Michelle Monaghan, Maggie Q, Zoe Colletti, Van Crosby, Ciarán Hinds, Kellen Boyle, Saïd Taghmaoui, Felicia Pearson, Lateef Crowder, Miles Doleac, Jonny Coyne, Kash Abdulmalik, Joyner Lucas, Iliana Norris, Vienna Norris, Colby Burton, Al Vicente, Marcus Anderson, Ryan Homchick, Chantal Maurice, James Sharpe, Joey Mekyten, Christian Gehring, Max Bickelhaup, Thanhminh Tan Thai, Nickolas Wolf, Nolani, Tony L. Calloway, Beau Wilson, Robert Hendren, Anisa Nyell Johnson, Alexandra Pica, Dajalynn Sanchez, Savanna Gann, Sarah Jon, Bonnie Johnson, Nichele Lambert, Anthony N., Quentin Franco, Keith Sayers, Kaci Barker, Damian Lamar Lockhart, Sean Michael Weber, Olivia Healey, Adam Murray, Michael Zazarino, Jack Ha, Anthony P. Thomas, Ray Kam, Hayley Keown, iiTzTimmy, Franco Castan, Valkyrae, David Conk, Denisha Gillespie, Kevin Dyer, Laura Palka, Levi Gilbert"
891699,Silent Night,Silent Night,"Action, Crime",2023-11-30,5.862,/tlcuhdNMKNGEVpGqBZrAaOOf1A6.jpg,"holiday, revenge, death of son, christmas, no dialogue","Joel Kinnaman, Kid Cudi, Harold Torres, Catalina Sandino Moreno, Yoko Hamamura, Valeria Santaella, Vinny O'Brien, Acoyani Chacon, Alejandro De Los Monteros, Angeles Woo, Robert 'Rock' Galotti, Braulio Iara, Alex Briseño, Binah Heike Anne Jauand Martínez, Bruno Gabriel Moreno Martínez, Sebastián Andres León Colmenares, Olaf Alejandro Velazquez Uribe, Hugo Ramírez, Naidelin Landero, Armando Said, Sara Ovando, Enrique del Buey, Anthony Giulietti"
572802,Aquaman and the Lost Kingdom,Aquaman and the Lost Kingdom,"Action, Adventure, Fantasy",2023-12-20,6.487,/8xV47NDrjdZDpkVcCFqkdHa3T0C.jpg,"superhero, secret society, half-brother, sequel, revenge, dysfunctional relationship, dc extended universe (dceu), ancient evil, underwater world, vengeance, brother brother relationship","Jason Momoa, Patrick Wilson, Yahya Abdul-Mateen II, Randall Park, Amber Heard, Nicole Kidman, Dolph Lundgren, Temuera Morrison, Indya Moore, Pilou Asbæk, Jani Zhao, Vincent Regan, Michael Beach, Martin Short, John Rhys-Davies, Natalia Safran, Samuel Gosrani, Jay Rincon, Sohm Kapila, Ricardo Molina, Ingrid Bisu, Grant Huggair, Osian Roberts, Jonny Vaughton, Jay McDonald, Jonathan Bremner, Jack Waldouck"
1071215,Thanksgiving,Thanksgiving,"Horror, Mystery, Thriller",2023-11-16,6.7,/f5f3TEVst1nHHyqgn7Z3tlwnBIH.jpg,"small town, sadism, holiday, massachusetts, thanksgiving, dark comedy, riot, plymouth, murder, serial killer, consumerism, slasher, whodunit, aftercreditsstinger, murder spree, teenage killer, black friday, based on short film, holidays, revenge slasher, stalked by a killer, revenge horror, masked killer, teen slasher, holiday horror","Patrick Dempsey, Nell Verlaque, Addison Rae, Jalen Thomas Brooks, Milo Manheim, Rick Hoffman, Gina Gershon, Tomaso Sanelli, Gabriel Davenport, Jenna Warren, Karen Cliche, Jeff Teravainen, Jordan Poole, Joe Delfin, Ty Olsson, Mika Amonsen, Shailyn Griffin, Tim Dillon, Amanda Barker, Chris Sandiford, Derek McGrath, Lynne Griffin, James Goldman, Katherine Trowell, Russell Yuen, Joseph Claude Dubois, Xavier Sabeta, Adam MacDonald, Yusuf Zine, Dorian Giordano, Hailey Kittle, Andriah Bryan, Geoff Rutherford, Frank J. Zupancic, Tom Keat, Joe Bostick, Alexander Elliot, Nicholas Reynoldson, Andy Boorman, Neil Robles, Hannah Storey, Charlie Storey, Shiloh O’Reilly, Pat Smith, Carlisle J. Williams, Daniel Beiser-Hunt, Christopher Creamer, Nicholas DeCoulos, Shawn Gordon Fraser, Jake Gosden, Derek Herd, J. Timothy Hunt, Piret Jõgeda, Aaron J. La Fleur, Julie Leedes, James Magwood, Sylvain Plasse, Daniel Ryan-Astley, Erika Nonato"
1131755,A Creature Was Stirring,A Creature Was Stirring,Horror,2023-12-08,5.0,/ikQG3byEFyfwcnF0zmyNtXTmr5v.jpg,"monster, nurse, mythical creature, creature, blizzard, christmas horror, christmas, burglars","Chrissy Metz, Annalise Basso, Connor Paolo, Scout Taylor-Compton, George Schichtle, Brisbyn Hood, Nicole Holmes, Kennedy Cochran, Tara Karsian"
844416,Rumble Through the Dark,Rumble Through the Dark,"Thriller, Action",2023-11-03,6.609,/19UbYIT9WEQS5qSD3BREDxVXk8g.jpg,"based on novel or book, redneck, debt, cage fighting, middle america, father daughter relationship","Aaron Eckhart, Bella Thorne, Marianne Jean-Baptiste, Ritchie Coster, Virginia Newcomb, Derek Russo, Mike McColl, Liz Fenning, Joe Hursley, Ritchie Montgomery"
897087,Freelance,Freelance,"Action, Comedy",2023-10-05,6.479,/7Bd4EUOqQDKZXA6Od5gkfzRNb0.jpg,"coup d'etat, dictatorship, political assassination, duringcreditsstinger, investigative journalism, ex special forces, fictional city","John Cena, Alison Brie, Juan Pablo Raba, Alice Eve, Marton Csokas, Christian Slater, Julianne Arrieta, Molly McCann, Daniel Toro, Sebastián Eslava, Roberto Cano"
299054,Expend4bles,Expend4bles,"Action, Adventure, Thriller",2023-09-15,6.441,/iwsMu0ehRPbtaSxqiaUDQB9qMWT.jpg,"sequel, nuclear bomb, cargo ship, ring","Sylvester Stallone, Jason Statham, 50 Cent, Megan Fox, Dolph Lundgren, Iko Uwais, Andy García, Tony Jaa, Randy Couture, Jacob Scipio, Levy Tran, Lucy Newman-Williams, Daren Nop, Kenny ""Cowboy"" Bartram, Cody Mackie, Cokey Falkow, Eddie Hall, Dan Chupong, Karim Saidi, Samuel Black, Adam Masto, Sheila Shah, Nicole Andrews, Oat Jenner, Susanne Potrock, Mike Möller, Alexander Hristozov, Antoni Davidov, David Nop, Igor Pečenjev, Stefan Ivanov, Vladimir Mihailov, Martin Ghiaurov, Tjaša Perko, Stefan Bahrun, Assen Karanikolov, Caroline Wilde, Jason Lines"
670292,The Creator,The Creator,"Action, Adventure, Science Fiction",2023-09-27,7.165,/vBZ0qvaRxqEhZwl6LWmruJqWE8Z.jpg,"artificial intelligence (a.i.), asia, distant future, space station, child, ex special forces, missing wife, robots, war against machines","John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney, Ken Watanabe, Sturgill Simpson, Amar Chadha-Patel, Marc Menchaca, Robbie Tann, Ralph Ineson, Michael Esper, Veronica Ngo, Ian Verdun, Daniel Ray Rodriguez, Rad Pereira, Syd Skidmore, Karen Aldridge, Teerawat Mulvilai, Leanna Chea, Sahatchai Chumrum, Apiwantana Duenkhao, Mariam Khummaung, Natthaphong Chaiyawong, Tawee Teesura, Kulsiri Thongrung, Charlie McElveen, Chananticha Chaipa, Sawanee Utoomma, Monthatip Suksopha, Brett Bartholomew, Jeb Kreager, Mackenzie Lansing, Stephen Howard Thomas, Agneta Catarina Békassy de Békas, Brett Parks, Phaithoon Wanglomklang, Ron Weaver, Mav Kang, John Garrett Mahlmeister, Scott Thomas, Kandanai Chotikapracal, Niko Rusakov, James David Henry, Eoin O'Brien, Dana Blouin, Anjana Ghogar, Pongsanart Vinsiri, Molywon Phantarak, Chalee Sankhavesa, Pat Skelton, Elliot Berk, Art Ybarra"
1143183,Rewind,Rewind,"Drama, Romance",2023-12-25,7.1,/ru1i4ZR11lPPVArk3fOcO1VCOlD.jpg,"magic realism, second chances","Dingdong Dantes, Marian Rivera, Coney Reyes, Ariel Ureta, Ina Feleo, Joross Gamboa, Via Antonio, Lito Pimentel, Sue Ramirez, Pepe Herrera, Mary Joy Apostol, Jyothika Sahoo, Pamu Pamorada, JC Alcantara, Jordan Lim, Neil Coleta, Shanaia Gomez, Chamyto Aguedan"
