,tmdb_id,soup
0,27205,action sciencefiction adventure rescue mission dream airplane paris france virtualreality kidnapping philosophy spy allegory manipulation carcrash heist memory architecture losangeles california dreamworld leonardodicaprio josephgordon-levitt kenwatanabe tomhardy elliotpage dileeprao christophernolan christophernolan christophernolan
1,157336,adventure drama sciencefiction rescue future spacecraft raceagainsttime artificialintelligence(a.i.) nasa timewarp dystopia spacetravel wormhole famine blackhole familyrelationship space robot astronaut scientist singlefather spacestation timeparadox time-manipulation fatherdaughterrelationship 2060 timemanipulation matthewmcconaughey annehathaway jessicachastain michaelcaine billirwin ellenburstyn christophernolan christophernolan christophernolan
2,155,drama action crime thriller sadism chaos secretidentity crimefighter superhero antihero scarecrow baseoncomic vigilante organizecrime tragichero criminalmastermind districtattorney superpower supervillain neo-noir christianbale heathledger michaelcaine garyoldman aaroneckhart maggiegyllenhaal christophernolan christophernolan christophernolan
3,299536,adventure action sciencefiction magic superhero baseoncomic space battlefield genocide superpower aftercreditsstinger marvelcinematicuniverse(mcu) cosmic robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson benedictcumberbatch anthonyrusso anthonyrusso anthonyrusso
4,550,drama dualidentity rageandhate baseonnovelorbook nihilism fight supportgroup dystopia insomnia alterego breakthefourthwall splitpersonality quitajob dissociativeidentitydisorder selfdestructiveness edwardnorton bradpitt helenabonhamcarter meatloaf jaredleto zachgrenier davidfincher davidfincher davidfincher
5,680,thriller crime drugdealer boxer stealmoney briefcase crimeboss redemption dancecompetition losangeles california theft nonlineartimeline multiplestoryline neo-noir johntravolta samuell.jackson umathurman brucewillis vingrhames harveykeitel quentintarantino quentintarantino quentintarantino
6,13,comedy drama romance vietnamveteran mentallydisabled friendship usapresident washingtondc usa post-traumaticstressdisorder(ptsd) waitress china baseonnovelorbook hippie singleparent parentchildrelationship optimism 1970 drugaddiction autism alabama blackpantherparty familyrelationship singlemother military 1960 mothersonrelationship tomhanks robinwright garysinise sallyfield mykeltiwilliamson michaelconnerhumphreys robertzemeckis robertzemeckis robertzemeckis
7,278,drama crime prison friendship policebrutality corruption baseonnovelorbook hope prisoncell delinquent redemption prisonescape wrongfulimprisonment interracialfriendship frameformurder 1940 voiceover timrobbins morganfreeman bobgunton williamsadler clancybrown gilbellows frankdarabont frankdarabont frankdarabont
8,68718,drama western rescue friendship bountyhunter texas slavery plantation rivalry revenge shootout racism kindness aftercreditsstinger blackslave 19thcentury german jamiefoxx christophwaltz leonardodicaprio kerrywashington samuell.jackson waltongoggins quentintarantino quentintarantino quentintarantino
9,603,action sciencefiction manvsmachine martialart dream artificialintelligence(a.i.) savetheworld hacker selfsacrifice virtualreality fight prophecy truth philosophy dystopia insurgence simulatereality cyberpunk dreamworld womandirector messiah actionhero gnosticism keanureeves laurencefishburne carrie-annemoss hugoweaving gloriafoster joepantoliano lillywachowski lillywachowski lillywachowski
10,299534,adventure sciencefiction action superhero timetravel spacetravel timemachine baseoncomic sequel alieninvasion superheroteam marvelcinematicuniverse(mcu) alternatetimeline fatherdaughterrelationship sistersisterrelationship robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson jeremyrenner anthonyrusso anthonyrusso anthonyrusso
11,475557,crime thriller drama dream streetgang society psychopath clown villain baseoncomic murder psychologicalthriller criminalmastermind mentalillness characterstudy socialrealism supervillain 1980s mothersonrelationship originstory joaquinphoenix robertdeniro zaziebeetz francesconroy brettcullen sheawhigham toddphillips toddphillips toddphillips
12,120,adventure fantasy action baseonnovelorbook orc elf dwarf magic lossofloveone river firework mine maze mountain castle volcano birthdayparty addiction uncle fugitive battle death blizzard wizard journey ring liveactionandanimation swordandsorcery elijahwood ianmckellen seanastin viggomortensen christopherlee livtyler peterjackson peterjackson peterjackson
13,122,adventure fantasy action baseonnovelorbook orc elf dwarf bravery suspicion volcano addiction honor royalty troll brutality ghost wizard quest liveactionandanimation swordandsorcery elijahwood seanastin ianmckellen viggomortensen andyserkis billyboyd peterjackson peterjackson peterjackson
14,11324,drama thriller mystery island baseonnovelorbook hurricane investigation u.s.marshal psychiatrichospital psychologicalthriller whodunit neo-noir 1950 leonardodicaprio markruffalo benkingsley maxvonsydow michellewilliams emilymortimer martinscorsese martinscorsese martinscorsese
15,106646,crime drama comedy corruption drugaddiction antihero conman fraud wallstreet baseontruestory riseandfall conartist money stockbroker drug decadence 1980s leonardodicaprio jonahhill margotrobbie kylechandler matthewmcconaughey robreiner martinscorsese martinscorsese martinscorsese
